n,m,parseTime,SATime,SearchTime,Description
39,24,116,21,4,sameChar
39,25,139,21,3,sameChar
39,26,132,21,4,sameChar
39,27,133,21,3,sameChar
39,28,156,21,4,sameChar
39,29,127,283,6,sameChar
39,30,148,21,4,sameChar
39,31,114,21,4,sameChar
39,32,131,22,3,sameChar
39,33,128,21,4,sameChar
39,34,126,22,3,sameChar
39,35,400,17,6,sameChar
39,36,279,29,6,sameChar
39,37,157,22,4,sameChar
39,38,183,22,4,sameChar
40,1,148,23,2,sameChar
40,2,179,23,1,sameChar
40,3,255,23,5,sameChar
40,4,134,22,2,sameChar
40,5,127,23,2,sameChar
40,6,122,23,2,sameChar
40,7,118,23,2,sameChar
40,8,125,24,2,sameChar
40,9,119,29,2,sameChar
40,10,108,22,2,sameChar
40,11,110,23,3,sameChar
40,12,109,23,2,sameChar
40,13,117,23,2,sameChar
40,14,121,22,2,sameChar
40,15,111,23,2,sameChar
40,16,113,22,3,sameChar
40,17,130,34,2,sameChar
40,18,124,23,4,sameChar
40,19,119,24,3,sameChar
40,20,115,23,4,sameChar
40,21,127,23,3,sameChar
40,22,112,23,3,sameChar
40,23,106,23,3,sameChar
40,24,106,23,3,sameChar
40,25,105,22,3,sameChar
40,26,103,23,3,sameChar
40,27,117,22,3,sameChar
40,28,106,24,4,sameChar
40,29,122,22,4,sameChar
40,30,107,22,3,sameChar
40,31,112,22,4,sameChar
40,32,121,22,4,sameChar
40,33,105,22,4,sameChar
40,34,126,28,4,sameChar
40,35,113,23,4,sameChar
40,36,119,22,3,sameChar
40,37,142,22,9,sameChar
40,38,263,22,4,sameChar
40,39,131,23,4,sameChar
41,1,149,24,1,sameChar
41,2,136,23,1,sameChar
41,3,139,24,2,sameChar
41,4,113,23,2,sameChar
41,5,113,24,2,sameChar
41,6,254,24,2,sameChar
41,7,109,24,2,sameChar
41,8,110,24,2,sameChar
41,9,110,23,2,sameChar
41,10,112,23,1,sameChar
41,11,110,28,2,sameChar
41,12,103,25,2,sameChar
41,13,104,23,4,sameChar
41,14,101,23,2,sameChar
41,15,105,23,2,sameChar
41,16,104,23,3,sameChar
41,17,105,24,3,sameChar
41,18,107,24,2,sameChar
41,19,104,24,2,sameChar
41,20,103,24,3,sameChar
41,21,106,24,3,sameChar
41,22,105,23,3,sameChar
41,23,104,23,2,sameChar
41,24,102,23,3,sameChar
41,25,104,24,3,sameChar
41,26,102,24,3,sameChar
41,27,110,24,4,sameChar
41,28,134,28,4,sameChar
41,29,109,24,3,sameChar
41,30,118,24,3,sameChar
41,31,103,23,4,sameChar
41,32,129,24,4,sameChar
41,33,105,24,4,sameChar
41,34,119,23,4,sameChar
41,35,117,27,4,sameChar
